Country Name,droughts_floods_temperature
Aruba,0.0
Afghanistan,1.05929016894999
Angola,1.01176467635625
Albania,5.26957699339956
Andorra,0.0
Arab World,0.0
United Arab Emirates,0.0
Argentina,0.167189950512828
Armenia,0.478231100921505
American Samoa,0.000261754979888492
Antigua and Barbuda,0.0
Australia,3.04709860649413
Austria,0.0381529782796336
Azerbaijan,1.10556506666241
Burundi,2.37741128892302
Belgium,0.00169216806014967
Benin,0.8582747992649251
Burkina Faso,1.250036827358
Bangladesh,4.584694259093821
Bulgaria,0.00855316044646202
Bahrain,0.0
"Bahamas, The",0.0
Bosnia and Herzegovina,0.49322849857990103
Belarus,0.0219585515265367
Belize,0.8060855888177271
Bermuda,0.0
Bolivia,1.29742916356694
Brazil,0.4824510279925471
Barbados,0.0
Brunei Darussalam,0.0
Bhutan,0.0135011025337857
Botswana,0.740418784027821
Central African Republic,0.18249850803147
Canada,0.0107432376669766
Central Europe and the Baltics,0.0
Switzerland,0.00388788412428912
Channel Islands,0.0
Chile,0.26047080512743204
China,7.95097147464036
Cote d'Ivoire,0.000757403639121069
Cameroon,0.0723722046654969
"Congo, Dem. Rep.",0.0178909622770062
"Congo, Rep.",0.262896436973433
Colombia,0.6571337539622989
Comoros,0.0221911585453536
Cabo Verde,0.00984122358979819
Costa Rica,0.7010456256797479
Caribbean small states,0.0
Cuba,0.727438085825858
Curacao,0.0
Cayman Islands,0.0
Cyprus,0.0026781550232895
Czech Republic,0.15574598779206197
Germany,0.0328245736854824
Djibouti,6.796847045542821
Dominica,0.0
Denmark,0.0
Dominican Republic,0.0787054349701715
Algeria,0.0392229403642657
East Asia & Pacific (excluding high income),0.0
Early-demographic dividend,0.0
East Asia & Pacific,0.0
Europe & Central Asia (excluding high income),0.0
Europe & Central Asia,0.0
Ecuador,0.336468818221031
"Egypt, Arab Rep.",0.0122134765201198
Euro area,0.0
Eritrea,7.32348285594532
Spain,0.729193518337962
Estonia,0.0
Ethiopia,3.26301816870463
European Union,0.0
Fragile and conflict affected situations,0.0
Finland,0.000387043470111034
Fiji,1.72863661924856
France,0.00571764592926749
Faroe Islands,0.0
"Micronesia, Fed. Sts.",1.3498135570024399
Gabon,0.0
United Kingdom,0.0324070189450731
Georgia,0.7704338485041259
Ghana,0.974438236973891
Gibraltar,0.0
Guinea,0.18021222728405498
"Gambia, The",0.19719002671623004
Guinea-Bissau,0.540905804297409
Equatorial Guinea,0.0
Greece,0.00658313866180501
Grenada,0.0
Greenland,0.0
Guatemala,1.30682366289927
Guam,0.0
Guyana,7.17062421244385
High income,0.0
"Hong Kong SAR, China",0.00435437265407691
Honduras,1.25529122608881
Heavily indebted poor countries (HIPC),0.0
Croatia,0.00249428868861808
Haiti,0.8403150263190359
Hungary,0.08810535128689301
IBRD only,0.0
IDA & IBRD total,0.0
IDA total,0.0
IDA blend,0.0
Indonesia,0.160589721908345
IDA only,0.0
Isle of Man,0.0
India,4.356108992064899
Not classified,0.0
Ireland,0.00490736939920962
"Iran, Islamic Rep.",3.05679191703282
Iraq,0.0148379593241009
Iceland,0.0
Israel,0.000810924778617535
Italy,0.0071022190689591595
Jamaica,1.14346077633162
Jordan,0.369473469445725
Japan,0.0209515501455421
Kazakhstan,0.217161218770403
Kenya,6.477853230861861
Kyrgyz Republic,2.0654640264513997
Cambodia,6.64379105434942
Kiribati,5.0029987647945
St. Kitts and Nevis,0.0
"Korea, Rep.",0.0802554113253908
Kuwait,0.000567073206173783
Latin America & Caribbean (excluding high income),0.0
Lao PDR,2.6931015795922204
Lebanon,0.0230823251765737
Liberia,1.8723041987134201
Libya,0.0
St. Lucia,0.0
Latin America & Caribbean,0.0
Least developed countries: UN classification,0.0
Low income,0.0
Liechtenstein,0.0
Sri Lanka,2.16003002858256
Lower middle income,0.0
Low & middle income,0.0
Lesotho,3.40265096330442
Late-demographic dividend,0.0
Lithuania,0.0
Luxembourg,0.0
Latvia,0.0
"Macao SAR, China",0.0
St. Martin (French part),0.0
Morocco,0.0757125863581121
Monaco,0.0
Moldova,0.34381082155310494
Madagascar,0.864615090391493
Maldives,0.030647954253700004
Middle East & North Africa,0.0
Mexico,0.149843277332355
Marshall Islands,0.0584142289273103
Middle income,0.0
North Macedonia,0.30457878073609
Mali,0.652855128388168
Malta,0.0
Myanmar,0.0924109354429813
Middle East & North Africa (excluding high income),0.0
Montenegro,0.0121742824623754
Mongolia,2.5613422379303796
Northern Mariana Islands,0.0
Mozambique,3.66244795624385
Mauritania,3.08197364994656
Mauritius,0.0
Malawi,8.82049278721445
Malaysia,0.0969269043603107
North America,0.0
Namibia,3.4014339634114394
New Caledonia,0.0
Niger,7.525065739219429
Nigeria,0.0550332644274809
Nicaragua,0.8335983671714409
Netherlands,0.00473786081084586
Norway,0.00679558795672088
Nepal,0.7037965142986471
Nauru,0.0
New Zealand,0.0108539845293594
OECD members,0.0
Oman,0.0
Other small states,0.0
Pakistan,1.05534239110308
Panama,0.196361451621855
Peru,1.9523808134554
Philippines,0.8063848651705471
Palau,0.0
Papua New Guinea,0.7307978984897131
Poland,0.0320171021577574
Pre-demographic dividend,0.0
Puerto Rico,0.0164973212565454
"Korea, Dem. Peopleâ€™s Rep.",2.49688110166948
Portugal,0.00180233530282191
Paraguay,0.71477345485624
West Bank and Gaza,0.0
Pacific island small states,0.0
Post-demographic dividend,0.0
French Polynesia,0.0
Qatar,0.0
Romania,0.0849709878995111
Russian Federation,0.13270049736118
Rwanda,1.29597316565611
South Asia,0.0
Saudi Arabia,0.00566049114062582
Sudan,2.76541558191951
Senegal,0.597670115011869
Singapore,0.0
Solomon Islands,0.0903440566097328
Sierra Leone,0.24701628374671203
El Salvador,0.360637004160202
San Marino,0.0
Somalia,4.60368934052831
Serbia,0.0106605743396642
Sub-Saharan Africa (excluding high income),0.0
South Sudan,0.0
Sub-Saharan Africa,0.0
Small states,0.0
Sao Tome and Principe,0.0
Suriname,0.339835427358562
Slovak Republic,0.0449271354961759
Slovenia,0.0
Sweden,0.0
Eswatini,9.22658630792033
Sint Maarten (Dutch part),0.0
Seychelles,0.0780213239541665
Syrian Arab Republic,0.507772234430497
Turks and Caicos Islands,0.0
Chad,2.71464102500458
East Asia & Pacific (IDA & IBRD countries),0.0
Europe & Central Asia (IDA & IBRD countries),0.0
Togo,0.5084778849828211
Thailand,3.7510989549350295
Tajikistan,5.37808586974649
Turkmenistan,0.00047537828000260594
Latin America & the Caribbean (IDA & IBRD countries),0.0
Timor-Leste,0.0251203812721842
Middle East & North Africa (IDA & IBRD countries),0.0
Tonga,0.0
South Asia (IDA & IBRD),0.0
Sub-Saharan Africa (IDA & IBRD countries),0.0
Trinidad and Tobago,0.000817749398671874
Tunisia,0.0984503364680408
Turkey,0.136563067437583
Tuvalu,0.0
Tanzania,1.4958635740523702
Uganda,0.8512034699139089
Ukraine,0.269239353924442
Upper middle income,0.0
Uruguay,0.264742966821956
United States,0.21415572253450302
Uzbekistan,0.123694001358125
St. Vincent and the Grenadines,0.00923653993672047
"Venezuela, RB",0.15520420431020698
British Virgin Islands,0.0
Virgin Islands (U.S.),0.0
Vietnam,1.5993616805381399
Vanuatu,0.105703889988763
World,0.0
Samoa,0.0
Kosovo,0.0
"Yemen, Rep.",0.0994106985454189
South Africa,1.8056505619927998
Zambia,4.19967674421609
Zimbabwe,0.0
