Country Name,Country Code,TerraMarineProtected_2016_2018
Aruba,ABW,0.27010333889070764
Afghanistan,AFG,0.10470703664278234
Angola,AGO,5.004711665541962
Albania,ALB,13.3997048533568
Andorra,AND,24.882126614955734
Arab World,ARB,4.776611691604897
United Arab Emirates,ARE,13.107819022992123
Argentina,ARG,7.4462836164071335
Armenia,ARM,23.110002896999266
American Samoa,ASM,8.71588427757382
Antigua and Barbuda,ATG,0.262789925389621
Australia,AUS,29.336476394924404
Austria,AUT,28.4133152992639
Azerbaijan,AZE,5.51901982675641
Burundi,BDI,7.591829682014605
Belgium,BEL,24.625502766773796
Benin,BEN,25.27192069706817
Burkina Faso,BFA,14.976860294719069
Bangladesh,BGD,4.888657880731067
Bulgaria,BGR,28.29370430483317
Bahrain,BHR,1.6891588864854368
"Bahamas, The",BHS,6.116823652597283
Bosnia and Herzegovina,BIH,1.4142350526075367
Belarus,BLR,9.40608169074107
Belize,BLZ,20.590897987964567
Bermuda,BMU,0.011550366077046298
Bolivia,BOL,30.865499482629364
Brazil,BRA,25.964596484364964
Barbados,BRB,0.008971144807811452
Brunei Darussalam,BRN,8.989412074406594
Bhutan,BTN,48.00767141561417
Botswana,BWA,29.14325556020503
Central African Republic,CAF,18.064818277988298
Canada,CAN,6.477168909020608
Central Europe and the Baltics,CEB,28.193069834309437
Switzerland,CHE,9.660294967061867
Channel Islands,CHI,0.0
Chile,CHL,22.55746072026773
China,CHN,15.038187867842566
Cote d'Ivoire,CIV,14.891523098245434
Cameroon,CMR,10.382122509322068
"Congo, Dem. Rep.",COD,13.38260783084167
"Congo, Rep.",COG,36.79528765504566
Colombia,COL,13.607828726564287
Comoros,COM,0.1258537584094037
Cabo Verde,CPV,0.8780734289371747
Costa Rica,CRI,3.0354137079187766
Caribbean small states,CSS,7.162246175089649
Cuba,CUB,7.184530820825853
Curacao,CUW,0.2585375941357257
Cayman Islands,CYM,0.10344344465505466
Cyprus,CYP,1.6870957155698167
Czech Republic,CZE,21.999092123656236
Germany,DEU,38.76723398907413
Djibouti,DJI,1.2623804863530133
Dominica,DMA,0.6442663652692883
Denmark,DNK,17.870783996843997
Dominican Republic,DOM,16.544471140622335
Algeria,DZA,7.105495364839309
East Asia & Pacific (excluding high income),EAP,12.526987511223467
Early-demographic dividend,EAR,10.130146774935612
East Asia & Pacific,EAS,17.897209806896598
Europe & Central Asia (excluding high income),ECA,6.763700857238729
Europe & Central Asia,ECS,9.30352418572821
Ecuador,ECU,14.768904054839632
"Egypt, Arab Rep.",EGY,11.550915844318402
Euro area,EMU,21.88795726498007
Eritrea,ERI,3.5962896747284803
Spain,ESP,15.0478840849711
Estonia,EST,19.501010455253432
Ethiopia,ETH,18.47495754675067
European Union,EUU,22.562432243379494
Fragile and conflict affected situations,FCS,12.109819968525235
Finland,FIN,14.177182135138864
Fiji,FJI,0.9901782040204221
France,FRA,30.831905904649194
Faroe Islands,FRO,0.023411943491687032
"Micronesia, Fed. Sts.",FSM,0.01676113648225287
Gabon,GAB,20.7780595648205
United Kingdom,GBR,26.637510770071902
Georgia,GEO,6.442315610502931
Ghana,GHA,7.7945591503506435
Gibraltar,GIB,13.148753810574668
Guinea,GIN,23.655298633132634
"Gambia, The",GMB,1.3664445264560465
Guinea-Bissau,GNB,11.6200288731635
Equatorial Guinea,GNQ,1.7653166972845236
Greece,GRC,10.206682114223531
Grenada,GRD,0.20557075505432298
Greenland,GRL,22.372181537262133
Guatemala,GTM,11.982988346460067
Guam,GUM,0.0705644638929084
Guyana,GUY,5.306077178006503
High income,HIC,18.762224110004038
"Hong Kong SAR, China",HKG,46.58525713396916
Honduras,HND,11.385445182255765
Heavily indebted poor countries (HIPC),HPC,16.0457562588881
Croatia,HRV,23.55662102626033
Haiti,HTI,0.325451403600759
Hungary,HUN,22.599014491251165
IBRD only,IBD,12.202413755018368
IDA & IBRD total,IBT,12.511834500055764
IDA total,IDA,13.5077010220252
IDA blend,IDB,12.265263402192
Indonesia,IDN,5.199941970215334
IDA only,IDX,13.814500282996567
Isle of Man,IMN,4.250757138205611
India,IND,3.479306591594503
Not classified,INX,0.0
Ireland,IRL,4.042465243080916
"Iran, Islamic Rep.",IRN,7.666531590307354
Iraq,IRQ,1.53447802756863
Iceland,ISL,2.478226798425597
Israel,ISR,8.582384904667478
Italy,ITA,13.359018817510334
Jamaica,JAM,1.4056174066004001
Jordan,JOR,1.79244402108165
Japan,JPN,7.381471210683613
Kazakhstan,KAZ,3.2079177106218997
Kenya,KEN,10.5050623881858
Kyrgyz Republic,KGZ,6.639928854127923
Cambodia,KHM,20.649422704218235
Kiribati,KIR,11.8197993090931
St. Kitts and Nevis,KNA,0.24947793312796565
"Korea, Rep.",KOR,3.955253667943127
Kuwait,KWT,10.998728641632665
Latin America & Caribbean (excluding high income),LAC,20.073423275808196
Lao PDR,LAO,16.682212175278835
Lebanon,LBN,1.0425981950678134
Liberia,LBR,1.0651322348323395
Libya,LBY,0.2885864359284263
St. Lucia,LCA,0.9317137032003133
Latin America & Caribbean,LCN,19.9324275436387
Least developed countries: UN classification,LDC,13.510871441631467
Low income,LIC,12.576198902456333
Liechtenstein,LIE,22.119911864102434
Sri Lanka,LKA,3.3786945104517834
Lower middle income,LMC,11.913293663721968
Low & middle income,LMY,12.3159707499734
Lesotho,LSO,0.26061207486470866
Late-demographic dividend,LTE,13.447240296980667
Lithuania,LTU,17.622537763760466
Luxembourg,LUX,38.00490007619217
Latvia,LVA,17.510662516988933
"Macao SAR, China",MAC,0.0
St. Martin (French part),MAF,92.1084464587401
Morocco,MAR,18.480047493824433
Monaco,MCO,99.54640879250185
Moldova,MDA,4.150849341555683
Madagascar,MDG,2.22158149513743
Maldives,MDV,0.050925525840255004
Middle East & North Africa,MEA,5.633077961588797
Mexico,MEX,14.954875803463578
Marshall Islands,MHL,0.2704412741925967
Middle income,MIC,12.2760774172633
North Macedonia,MKD,9.65368070242053
Mali,MLI,8.231601176254166
Malta,MLT,6.394706379873534
Myanmar,MMR,4.442650174900277
Middle East & North Africa (excluding high income),MNA,6.02027086991331
Montenegro,MNE,3.6528034385340504
Mongolia,MNG,17.610332812720234
Northern Mariana Islands,MNP,33.22657550053543
Mozambique,MOZ,13.4487141246543
Mauritania,MRT,1.0807180369974734
Mauritius,MUS,0.0114967077962867
Malawi,MWI,20.8819875759925
Malaysia,MYS,8.961525080236022
North America,NAC,16.322069408225
Namibia,NAM,23.2471573341205
New Caledonia,NCL,95.92989426945587
Niger,NER,17.317106720942633
Nigeria,NGA,11.610711390559667
Nicaragua,NIC,15.497995778881934
Netherlands,NLD,20.10409704785233
Norway,NOR,5.0279954116868835
Nepal,NPL,23.626062635718
Nauru,NRU,0.0
New Zealand,NZL,30.496271743022135
OECD members,OED,19.0349910311601
Oman,OMN,1.0183092004120533
Other small states,OSS,21.94314510029987
Pakistan,PAK,9.794938774260068
Panama,PAN,5.2349708242912705
Peru,PER,13.132022055106534
Philippines,PHL,3.1414010565674833
Palau,PLW,82.94155486965597
Papua New Guinea,PNG,0.6579919072028784
Poland,POL,38.054741477220404
Pre-demographic dividend,PRE,13.708117110184068
Puerto Rico,PRI,2.0192650616185133
"Korea, Dem. Peopleâ€™s Rep.",PRK,1.2603263220001732
Portugal,PRT,14.289474436432975
Paraguay,PRY,11.713278114442433
West Bank and Gaza,PSE,0.0
Pacific island small states,PSS,1.1252733700022768
Post-demographic dividend,PST,19.347688483416533
French Polynesia,PYF,0.00585195931625794
Qatar,QAT,3.4082582649809523
Romania,ROU,23.733280380587434
Russian Federation,RUS,7.614558231934563
Rwanda,RWA,9.114446522380954
South Asia,SAS,4.978720170211453
Saudi Arabia,SAU,4.365896921194153
Sudan,SDN,2.753282878181363
Senegal,SEN,14.548031999204634
Singapore,SGP,2.4709260617440365
Solomon Islands,SLB,0.15530749273618935
Sierra Leone,SLE,3.29706117853147
El Salvador,SLV,2.1518618973499435
San Marino,SMR,0.0
Somalia,SOM,0.275761206469385
Serbia,SRB,6.458621609820217
Sub-Saharan Africa (excluding high income),SSA,15.504872786913632
South Sudan,SSD,15.501528128599498
Sub-Saharan Africa,SSF,15.503056850368834
Small states,SST,18.917337819099902
Sao Tome and Principe,STP,0.244513083128251
Suriname,SUR,8.483120113885272
Slovak Republic,SVK,37.51478080125779
Slovenia,SVN,55.07951323923094
Sweden,SWE,14.2663922355457
Eswatini,SWZ,4.18718793422422
Sint Maarten (Dutch part),SXM,7.084360420246381
Seychelles,SYC,0.0513681336614833
Syrian Arab Republic,SYR,0.6628455829869181
Turks and Caicos Islands,TCA,0.3875463431405303
Chad,TCD,20.354438993057567
East Asia & Pacific (IDA & IBRD countries),TEA,12.613118438421134
Europe & Central Asia (IDA & IBRD countries),TEC,7.3835899196965835
Togo,TGO,21.791172744253803
Thailand,THA,12.5097536535079
Tajikistan,TJK,22.2786368960714
Turkmenistan,TKM,3.2122359900563704
Latin America & the Caribbean (IDA & IBRD countries),TLA,20.021139509151332
Timor-Leste,TLS,4.422699306705517
Middle East & North Africa (IDA & IBRD countries),TMN,6.02027086991331
Tonga,TON,1.5216451409345735
South Asia (IDA & IBRD),TSA,4.978720170211449
Sub-Saharan Africa (IDA & IBRD countries),TSS,15.503056850368834
Trinidad and Tobago,TTO,2.01445754525867
Tunisia,TUN,5.208602774952687
Turkey,TUR,0.190643185276385
Tuvalu,TUV,0.00859844199859487
Tanzania,TZA,30.928037260372605
Uganda,UGA,16.0639942852533
Ukraine,UKR,3.875411416832277
Upper middle income,UMC,12.414620723560601
Uruguay,URY,2.3050545322504266
United States,USA,26.32745564025667
Uzbekistan,UZB,3.3751621369369604
St. Vincent and the Grenadines,VCT,0.4663291115017354
"Venezuela, RB",VEN,36.902549088729074
British Virgin Islands,VGB,0.04073264672452153
Virgin Islands (U.S.),VIR,0.9862820635060232
Vietnam,VNM,2.92948709236072
Vanuatu,VUT,0.09073080354350764
World,WLD,14.1513338615483
Samoa,WSM,0.23769262368444802
Kosovo,XKX,0.0
"Yemen, Rep.",YEM,0.6058027333676247
South Africa,ZAF,11.1687688205621
Zambia,ZMB,37.92969058215553
Zimbabwe,ZWE,27.21457092024453
